"title","date","link","nrec"
"Fw: [公告] 徵文主題-菸害防制法修法與言論自由(發錢推廣)","7/14","https://www.ptt.cc/bbs/Gossiping/M.1752478690.A.FCA.html","96.0"
"[新聞] 丹娜絲災後21天 台南學甲區仍持續沒網路","7/27","https://www.ptt.cc/bbs/Gossiping/M.1753595102.A.562.html","100.0"
"[問卦] 吳彥祖算有大紅過嗎？","8/01","https://www.ptt.cc/bbs/Gossiping/M.1754063604.A.A93.html","20.0"
"Re: [問卦] XXXXGAY >>>>>> ubcs","8/02","https://www.ptt.cc/bbs/Gossiping/M.1754064034.A.030.html","71.0"
"[新聞] 快訊／太扯！魏如萱小21歲男友才約會若","8/02","https://www.ptt.cc/bbs/Gossiping/M.1754064614.A.F41.html","10.0"
"[問卦] 幽遊白書最新漫畫到哪了呢?","8/01","https://www.ptt.cc/bbs/Gossiping/M.1754063027.A.0FC.html","19.0"
"[問卦] 閩南祖先當年來臺是怎開疆拓土？","8/01","https://www.ptt.cc/bbs/Gossiping/M.1754063522.A.0A8.html","17.0"
"[新聞] 事實查核中心出包？稱弒師228董事長非政","8/01","https://www.ptt.cc/bbs/Gossiping/M.1754061771.A.EA6.html","68.0"
"[新聞] 關稅20%「訂單會跑光」　彰化水五金業者","8/01","https://www.ptt.cc/bbs/Gossiping/M.1754062106.A.E6E.html","62.0"
"[問卦] 脆#徵抱小孩人士(一趟20元)","8/01","https://www.ptt.cc/bbs/Gossiping/M.1754060450.A.0BD.html","11.0"
"[新聞] 預售屋解約潮來襲！銀行排隊5個月　千人","8/01","https://www.ptt.cc/bbs/Gossiping/M.1754060465.A.D3D.html","37.0"
"[問卦] 高雄旗津吃海產是不是被當盤子？","8/01","https://www.ptt.cc/bbs/Gossiping/M.1754060492.A.8B6.html","22.0"
"[問卦] 有錢人住的地方是不是不會淹水的八卦?","8/01","https://www.ptt.cc/bbs/Gossiping/M.1754060559.A.6D8.html","12.0"
"[新聞] 他珍奶天天喝罹嚴重糖尿病 18個月後大","8/01","https://www.ptt.cc/bbs/Gossiping/M.1754060815.A.A2B.html","13.0"
"[問卦] 批踢踢真的關站會怎麼樣嗎？","8/01","https://www.ptt.cc/bbs/Gossiping/M.1754060977.A.29E.html","17.0"
"[問卦] 月牙真的代表身體狀況嗎？","8/01","https://www.ptt.cc/bbs/Gossiping/M.1754061004.A.C70.html","10.0"
"[新聞] 請尊重？台中地院「禁旁聽寫筆記」 法界","8/01","https://www.ptt.cc/bbs/Gossiping/M.1754060009.A.0C2.html","52.0"
