"title","date","link","nrec"
"[新聞] 災區「至今手機難通訊」沒第四台 網傻眼","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753635718.A.4B2.html","31"
"Re: [新聞] 竹節草颱風復活！南部恐再迎致災雨彈","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753635832.A.E71.html","1"
"[問卦] 待退的人有多大?","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753635863.A.2A3.html",""
"[問卦] 是不是可以重新回到高齡駕駛議題了?","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633480.A.09E.html","2"
"[問卦] 高雄人強迫叫人讓座在香港論壇出名了","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633532.A.340.html","9"
"Re: [新聞] 綠白有望和解？陳昭姿列「3條件」喊話民","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633539.A.BBE.html","46"
"Re: [爆卦] 台南市長指責yter災後影片造謠","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633598.A.B23.html","55"
"[問卦] 愛莉莎莎 vs 李珠珢","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633601.A.417.html","1"
"[問卦] 大失敗關館長什麼事","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633653.A.53A.html","6"
"魷魚遊戲O>X  歡呼什麼？","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633999.A.2F7.html",""
"[問卦] 三十歲老處女教師 你OK嗎","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753634047.A.4E8.html","11"
"[問卦] 民主已死 應該怎麼搶救呢??","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753634121.A.DB5.html","5"
"Re: [問卦] 很愛收納的是不是房間都很小啊？","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753634123.A.FAC.html",""
"[問卦] 黃忠是五虎將戰功最高的嗎？","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753634160.A.A22.html","6"
"[問卦] 章魚嗶的原罪給我們甚麼啟示= =","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753634165.A.DB7.html","7"
"Re: [新聞] 綠白有望和解？陳昭姿列「3條件」喊","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753634279.A.084.html","2"
"[問卦] 台政文組較常找去治國？清交理組在幹嘛","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753634351.A.5DD.html","1"
"[問卦] 幹 張獻忠是有什麼病啊?那麼愛殺人?","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753634442.A.C13.html","4"
"[問卦] 台南實況片 是不是就是數位中介法要防的","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753634520.A.C2A.html","2"
"[問卦] 台南到底是一個什麼樣的地方","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753634542.A.255.html","13"
"[問卦]街頭民調：一億元與清華大學入學通知 選哪","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753634588.A.DCC.html","79"
"Re: [問卦] 為什麼不準備安置屋給南部災民？","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753634649.A.896.html","3"
"Re: [爆卦] 台南市長指責yter災後影片造謠","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753634689.A.E70.html","6"
"[新聞] 李珠珢壓低帽子「僅露半張臉」吐心聲！","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753632862.A.848.html",""
"Re: [爆卦] 台南市長指責yter災後影片造謠","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753632925.A.34F.html","2"
"[問卦] blackpink變現能力484屌虐台灣音樂","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753632979.A.52F.html","3"
"[新聞] 酸賴清德以為能罷10席大誤判　徐巧芯對","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753632994.A.7AA.html","9"
"[問卦] 越長大越孤單 越長大越不安","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753632997.A.FF4.html","2"
"[問卦] 有沒有親中行為可以讓我參考一下","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633003.A.8E1.html","5"
"[問卦] 歌曲屋頂要是本月推出會怎樣","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633027.A.1F3.html",""
"[問卦] 罷免浪費的好幾億拿去救災不是很好嗎","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633083.A.6A3.html","7"
"[問卦] 整形正妹跟妝後正妹，哪個更能接受？","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633106.A.A30.html","3"
"[問卦] 脆：大罷免沒過 全家要去中國捐血留檔","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633122.A.E42.html","36"
"Re: [新聞] 大支嗆五月天惹議！　周杰倫昔轟「社會敗","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633144.A.81F.html","5"
"[問卦] 早起上班賺的比富二代零用錢少，何必呢?","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633166.A.630.html",""
"Re: [爆卦] 台南市長指責yter災後影片造謠","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633243.A.9BD.html","7"
"[問卦] 中國的新聞到底要看哪一個平台？","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633271.A.66D.html","4"
"[新聞] 台灣若發生戰事 英國防相：已做好在太平","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633276.A.EBB.html","9"
"Re: [新聞] 「AV界傳奇」Rio怒發聲！點名這群人：永","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633301.A.B72.html",""
"[問卦] 志祺七七會怎麼拍台南受災的影片","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633343.A.0A7.html","36"
"[問卦] 礦工真的很偉大","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633434.A.CA0.html","3"
"[問卦] 聞仲也算愛國志士, 求仁得仁???","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633450.A.BF2.html","4"
"[問卦] 現在小女孩就懂情勒了？","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633477.A.EB8.html","2"
"[新聞] 網傳林錫耀疑「喬」檢察人事 台高檢今火","7/27","https://www.ptt.cc/bbs/Gossiping/M.1753631977.A.5CD.html","30"
"[新聞] 曹興誠823不玩了！黃揚明諷「又半途而","7/27","https://www.ptt.cc/bbs/Gossiping/M.1753631982.A.0F9.html","22"
"Re: [問卦] 擺爛了一年 週一要怎麼重新開始？","7/27","https://www.ptt.cc/bbs/Gossiping/M.1753631984.A.D6C.html","1"
"[問卦] 很愛收納的是不是房間都很小啊？","7/27","https://www.ptt.cc/bbs/Gossiping/M.1753631992.A.579.html",""
"[問卦] 高所得繳的所得稅分給低所得合理嗎","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753632069.A.97B.html","2"
"[新聞] 中國網友好奇「怎看大罷免」？黃安神隱一","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753632195.A.E29.html",""
"[問卦] 學妹MSN：我們在告別的演唱會 說好不再見","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753632246.A.440.html","8"
"[問卦] 黃雨勳的作品，各位最推薦哪三首","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753632259.A.1CD.html","3"
"[問卦] 所以台南屋頂好了嗎？ 好好笑","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753632283.A.FA9.html","9"
"[問卦] 身高只有173","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753632322.A.476.html","4"
"[問卦] 台南風災後滿目瘡痍 跑台北跳舞是哪種人?","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753632355.A.E83.html","4"
"[問卦] 台灣發電76%竟然靠火力","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753632381.A.D9B.html","11"
"[新聞] 應對全球極端氣候 北京推「媽祖」早期預","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753632395.A.47D.html","6"
"[問卦] 上次公投4個不同意有什麼影響","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753632517.A.F65.html","4"
"[問卦] ☺  threads是不是快贏ptt 了啊？","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753632572.A.72B.html","3"
"Re: [新聞] 京華城案　彭振聲：主持4次都委會造成家破人亡","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753632655.A.476.html",""
"[爆卦] 志祺77一個禮拜掉兩萬粉絲","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753632686.A.527.html","24"
"[問卦] 沒屋頂下雨怎麼辦","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753632740.A.859.html","19"
"[問卦] 為什麼不準備安置屋給南部災民？","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753632792.A.958.html","7"
"[新聞] 台大經濟系鄭秀玲重批黃國昌「誤國誤民」","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753632803.A.9A4.html","X2"
"[問卦] 土城看守所會有新聞報紙嗎？","7/27","https://www.ptt.cc/bbs/Gossiping/M.1753631216.A.DF3.html","5"
"[新聞] 大支嗆五月天惹議！　周杰倫昔轟「社會敗","7/27","https://www.ptt.cc/bbs/Gossiping/M.1753631285.A.F9E.html","39"
"[新聞] 小三熱水燙死媽…20年後電鍋砸死爸！台劇","7/27","https://www.ptt.cc/bbs/Gossiping/M.1753631301.A.A90.html","6"
"Re: [爆卦] 台南市長指責yter災後影片造謠","7/27","https://www.ptt.cc/bbs/Gossiping/M.1753631343.A.69C.html","8"
"Re: [問卦] 中國為什麼不乾脆統一中南半島？","7/27","https://www.ptt.cc/bbs/Gossiping/M.1753631418.A.12C.html","1"
"Re: [新聞] 綠白有望和解？陳昭姿列「3條件」喊話民","7/27","https://www.ptt.cc/bbs/Gossiping/M.1753631461.A.68A.html",""
