"title","date","link","nrec"
"[新聞] 台灣緊盯！美國半導體關稅要來了 晶片進","7/28","https://www.ptt.cc/bbs/Stock/M.1753684384.A.FC7.html","35"
"[情報] 1563 巧新 發錢！","7/28","https://www.ptt.cc/bbs/Stock/M.1753685123.A.5AC.html","53"
"[情報] 5508 永信建114年Q2財報","7/28","https://www.ptt.cc/bbs/Stock/M.1753685464.A.1E5.html","15"
"[情報] 0728 上市投信買賣超排行","7/28","https://www.ptt.cc/bbs/Stock/M.1753685591.A.3FF.html","4"
"[新聞] 南早:美中瑞典談判 將關稅戰停火再延90天","7/27","https://www.ptt.cc/bbs/Stock/M.1753630835.A.6EF.html","49"
"[請益] 哪家券商的借券利率可以自動媒合?","7/28","https://www.ptt.cc/bbs/Stock/M.1753634531.A.1A6.html","11"
"Re: [請益] 南部災情重創 修繕概念股","7/28","https://www.ptt.cc/bbs/Stock/M.1753636144.A.9B8.html","29"
"[情報] 川普宣布與歐盟達成貿易協議（15%）","7/28","https://www.ptt.cc/bbs/Stock/M.1753637810.A.38B.html","爆"
"[新聞] 川普與歐盟達成協議，關稅定為15%","7/28","https://www.ptt.cc/bbs/Stock/M.1753642889.A.142.html","25"
"[新聞] 美商務部長：兩周內公布半導體232調查報","7/28","https://www.ptt.cc/bbs/Stock/M.1753655418.A.08E.html","39"
"[新聞] 台灣無人機主打非紅供應鏈奏效　上半年出","7/28","https://www.ptt.cc/bbs/Stock/M.1753655981.A.A9A.html","12"
"[標的] 三商餐飲7705適合進場存股嗎","7/28","https://www.ptt.cc/bbs/Stock/M.1753659206.A.90C.html","12"
"[新聞] 美歐15%關稅條件曝光！　馮德萊恩：已是","7/28","https://www.ptt.cc/bbs/Stock/M.1753661986.A.531.html","59"
"[閒聊] 2025/07/28 盤中閒聊","7/28","https://www.ptt.cc/bbs/Stock/M.1753662602.A.3D0.html","爆"
"[新聞] 廣東屈公病例已破4000 港澳高度警戒疫情","7/28","https://www.ptt.cc/bbs/Stock/M.1753663273.A.0FA.html","30"
"[新聞] 台股三重打擊炸裂!台積電卡死1160 謝金河怒","7/28","https://www.ptt.cc/bbs/Stock/M.1753663768.A.95A.html",""
"[新聞] 恆瑞醫藥：與GSK達成協議 恆瑞將有資格쀱","7/28","https://www.ptt.cc/bbs/Stock/M.1753665038.A.181.html","8"
"Re: [新聞] 國旅2.22億人次創新高 住房率低成觀光課","7/28","https://www.ptt.cc/bbs/Stock/M.1753666160.A.213.html","76"
"[新聞] 首波大罷免落幕！台股漲逾200點　台積電","7/28","https://www.ptt.cc/bbs/Stock/M.1753667686.A.93E.html","44"
"[新聞] 美日16.2兆投資協議將助台積電美國建廠","7/28","https://www.ptt.cc/bbs/Stock/M.1753667725.A.2F8.html","94"
"[新聞] 三星宣布搶到165億美元代工大單","7/28","https://www.ptt.cc/bbs/Stock/M.1753671888.A.EF0.html","79"
"[標的] 2316楠梓電 多","7/27","https://www.ptt.cc/bbs/Stock/M.1753590097.A.8FD.html","46"
"[公告] 大水桶 大成功","7/27","https://www.ptt.cc/bbs/Stock/M.1753590467.A.FA3.html","33"
"[標的] 普發現金概念股 多","7/27","https://www.ptt.cc/bbs/Stock/M.1753591362.A.EFE.html","46"
"[新聞] 國旅2.22億人次創新高 住房率低成觀光課","7/27","https://www.ptt.cc/bbs/Stock/M.1753592085.A.2CA.html","54"
"[新聞] 川普關稅倒數5天！印度爆「談判一團亂」","7/27","https://www.ptt.cc/bbs/Stock/M.1753592788.A.3AF.html","18"
"[新聞] 赤澤：對美投資出資比率為1%至2%","7/27","https://www.ptt.cc/bbs/Stock/M.1753592791.A.3A5.html","26"
"[新聞] 最大客戶恐轉單…台積電地位要被動搖","7/27","https://www.ptt.cc/bbs/Stock/M.1753593080.A.BBC.html","99"
"Re: [新聞] 赤澤：對美投資出資比率為1%至2%","7/27","https://www.ptt.cc/bbs/Stock/M.1753598599.A.AD7.html",""
"[新聞] 日本投資5500億美元讓美國爽賺？日經爆-","7/27","https://www.ptt.cc/bbs/Stock/M.1753599145.A.DCF.html","40"
"Re: [新聞] 最大客戶恐轉單…台積電地位要被動搖","7/27","https://www.ptt.cc/bbs/Stock/M.1753600625.A.AC8.html","36"
"[情報] 2887 台新金 114 年普通股 除權息基準日","7/27","https://www.ptt.cc/bbs/Stock/M.1753606586.A.04F.html","12"
"[標的] 2409友達 砸電視準備多 最低檔安全的類","7/27","https://www.ptt.cc/bbs/Stock/M.1753611969.A.4C4.html","7"
"[新聞] 中國出口大增 亞洲輸歐貨櫃量續揚、衝歷","7/27","https://www.ptt.cc/bbs/Stock/M.1753612441.A.B58.html","6"
